[16:18:26] [main.cpp:80] [INFO]:  Beginning initialization of 'Assignment 3: They said WHAT?!'
[16:18:27] [main.cpp:86] [INFO]:  Window successfully created!
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.455114
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.424862
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.562456
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.445370
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.412863
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.478608
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.498252
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.571600
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.573853
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.415592
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.530665
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.547333
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.371547
[16:18:33] [render.h:188] [TRACE]: Particles Spawning: 2.551356
